PT	AN	DT	PN	PC	TI	AU	ED	TR	OP	OC	AE	SO	PY	PD	VL	IS	P1	JI	BP	EP	PS	OS	TS	CT	CY	CL	SP	IO	LA	AB	DF	PI	DE	IP	C1	EA	RI	OI	U1	U2	PU	PV	SC	AV	TL	NR	UR	UC	CO	SN	DI	BN	ID	UT	OA	HC	HP	DA
J	INSPEC:21141889	Conference Paper			The Implications of the Artificial Intelligence Capability for Language Industry Professionals: A Scientometric Analysis	Han-Teng Liao; Tao Guo						2021 2nd International Conference on Artificial Intelligence and Education (ICAIE)	2021	2021					192	195	192-5			2021 2nd International Conference on Artificial Intelligence and Education (ICAIE)	18-20 June 2021	Dali, China			English	Artificial intelligence (AI) has been shaping the landscape of language industry, raising serious questions about the traditional and emerging capabilities of the language professionals. With the aim to examine the general implications of AI on language professions, the study investigates two areas: English for Specific Purposes and Chinese for Specific Purposes, thereby covering two major languages in the world of business and trade. Based on 648 bibliographic entries collected from the Web of Science (WoS) Core Collection Indexes of SCI-EXPANDED, SSCI, and A&HCI, the scientometric findings reveal the initial impact of digital technologies, including Big Data and AI, on the traditional and emerging capabilities of language professionals. The paper summarizes different aspects of language and digital capabilities. It discusses how AI applications may enhance such capabilities, thereby generating insights for the training and learning experiences for the next generation of language industry professionals.			Practical/ artificial intelligence; Big Data; computer aided instruction; information analysis; Internet; linguistics/ language industry professionals; scientometric analysis; digital technologies; artificial intelligence capability; Web of Science Core Collection Indexes; Big Data; learning experiences/ C7810C Computer-aided instruction; C7820 Humanities computing; C6210 Knowledge based systems; C6160Z Other DBMS; C7210N Information networks; C7240 Information analysis and indexing	G09B5/00 Electrically-operated educational appliances; G06F16/00 Information retrieval; Database structures therefor; File system structures therefor	Han-Teng Liao; Tao Guo; Higher Educ. Impact Assessment Center, Guangzhou Nanfang Coll., Guangzhou, China.				0	0	IEEE	Piscataway, NJ, USA	Education & Educational Research; Computer Science; Arts & Humanities - Other Topics (provided by Clarivate Analytics)			0					10.1109/ICAIE53562.2021.00047	978-1-6654-2492-9		INSPEC:21141889				2021-12-06
J	INSPEC:20016557	Conference Paper			Modeling Regional Innovative System Performance in China Using A Dynamic Two-Stage SBM Model	Tzu-Yu Lin; Weihua Huang; Hong Chen; Sheng-Hsiung Chiu						MSIE 2020: Proceedings of the 2020 2nd International Conference on Management Science and Industrial Engineering	2020	7 April					54	59	54-9			MSIE 2020: 2020 2nd International Conference on Management Science and Industrial Engineering	7-9 April 2020	Osaka, Japan	Nat. Tsing Hua Univ.		English	Innovative development has always been an important policy tool for accumulating effective intelligent property to the desirability of all policy makers in China, even more so now as the trade war has seriously threatened the Chinese economy. To understand the efficacy of regional innovative policies, we proposed the dynamic two-stage slacks-based measure (SBM) model with carry-over and intermediate variables, highlighting the importance of the status of invention patent, as granted patent and patent in force, to measure the overall innovative performance for the purposed of regional innovative development, which makes significant difference to previous studies on modelling setting. Using data of 30 provincial administration regions in China for the period of 2011-2017, the average regional innovative system performance is deemed as 0.5858 and we postulated that the difference of commercialization performance among three main areas should be pay attention, because the average performance of commercialization stage in the east area is obviously better than that the west and central areas. Based on this finding, we propose several policy suggestions as the provincial and central government who should be put more efforts on innovative competitiveness, as enhancing the quality and quantity of invention patents and the market-oriented to guild the direction for the R&D stage.			Economic; Practical/ economics; government policies; innovation management; patents/ dynamic two-stage SBM model; intelligent property; trade war; regional innovative system performance; provincial administration regions; central government; R&D stage; commercialization performance; invention patent; two-stage slacks-based measure model; regional innovative policies; Chinese economy/ E1030 Research and development; E0220 Economics; E0260 Social and political issues; E0270 Legal aspects		Tzu-Yu Lin; Weihua Huang; Hong Chen; Sheng-Hsiung Chiu; Accounting Sch., Nanfang Coll. of Sun Yat-Sen Univ., Guangzhou, China.				0	1	ACM	New York, NY, USA	Engineering; Business & Economics; Computer Science; Social Issues; Government & Law (provided by Clarivate Analytics)								10.1145/3396743.3396773	978-1-4503-7706-5		INSPEC:20016557				2021-12-06
J	INSPEC:20511064	Conference Paper			The Effects of Executive Compensation Incentive on Implicit Corruption in China Based on Multiple Linear Regression Model	Xuran Gao; Chengrui Zhang						2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	2020	2020					85	88	85-8			2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	18-20 Dec. 2020	Guangzhou, China			English	This study investigates whether and how executive compensation incentives improve the governance of corporate implicit corruption based on multiple linear regression model. In addition to compensation level/amount adopted in related researches under Chinese context, executive compensation incentives involve the incentive intensity measured by sensitivity between compensation and performance. It is found that executive compensation incentives have significant impacts on power-induced implicit corruption. Specifically, increasing the performance-based compensation incentive intensity may curb power-induced implicit corruption. However, merely raising the compensation is effective only when executives are in low-pay level. Our study provides an important internal governance perspective for implicit corruption based on the executive compensation incentive mechanism.			Practical; Theoretical or Mathematical/ incentive schemes; organisational aspects; personnel; regression analysis/ power-induced implicit corruption; executive compensation incentive mechanism; multiple linear regression model; corporate implicit corruption; performance-based compensation incentive intensity/ C1140Z Other topics in statistics; E0120M Human resource management; E0110 Organisational aspects		Xuran Gao; Chengrui Zhang; Accounting Sch., Nanfang Coll. of Sun Yat-Sen Univ., Guangzhou, China.				1	1	IEEE	Piscataway, NJ, USA	Mathematics; Business & Economics (provided by Clarivate Analytics)			4					10.1109/MSIEID52046.2020.00024	978-1-6654-1541-5	[978-1-6654-1541-5/20/$31.00]	INSPEC:20511064				2021-12-06
J	INSPEC:20511040	Conference Paper			Mapping the Field of Educational Assessment and Professional Accreditation in Higher Education: Bibliographic Coupling and Co-Citation Analyses for Green and Digital Transformation	Kai-Sheng Chen; Han-Teng Liao						2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	2020	2020					281	284	281-4			2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	18-20 Dec. 2020	Guangzhou, China			English	Evaluating effectiveness and impacts of higher education has been the central sites of observations for the field of educational assessment and professional accreditation, with various institutions providing accreditation services such as IEET, HEEACT, AACSB, ABET, etc. Given the advancement of digital technologies and digital economy applications, it is important to explore how such higher education evaluation can benefit from, and also account in, such digital advancement. In this paper, we conduct web crawling written in Python to systematically scan the Web of Science to retrieve the related literature. Based on 646 bibliographic data collected from the database, the findings show that the main contribution has been made by mostly the three main disciplines: science education, educational research, and engineering, the top journals such as International Journal of Engineering Education, the top keywords such as accreditation, assessment, quality assurance, outcomes, etc. The findings also reveal how such concerns have been discussed in relation to topics such as learning analytics, big data, sustainability, impacts, etc., that can be related to green and digital transformation. In conclusion, the overall mapping provides an initial roadmap for the practice of higher education assessment and accreditation to harness the potentials of digital technologies for green and digital transformation of higher education, including more inclusive notion of "impact" that includes sustainability and more human-centered notion of "outcomes" that focuses more on human development.			Practical/ accreditation; citation analysis; computer aided instruction; educational administrative data processing; educational courses; educational institutions; engineering education; further education; information retrieval; Internet; knowledge management/ accreditation services; digital technologies; digital economy applications; higher education evaluation; digital advancement; 646 bibliographic data; science education; educational research; Engineering Education; digital transformation; higher education assessment; educational assessment; professional accreditation/ C7210N Information networks; C7240 Information analysis and indexing; C7250R Information retrieval techniques; C7810C Computer-aided instruction; C7110 Educational administration	G09B5/00 Electrically-operated educational appliances; G06Q50/20 Education; G06F16/00 Information retrieval; Database structures therefor; File system structures therefor	Kai-Sheng Chen; Sch. of Electr. & Comput. Eng., Sun Yat-Sen Univ. Nanfang Coll., Guangzhou, China.Han-Teng Liao; Higher Educ. Impact Assessment Center, Sun Yat-Sen Univ. Nanfang Coll., Guangzhou, China.		Liao, Han-Teng/AAC-5793-2019	Liao, Han-Teng/0000-0003-1081-5599	0	0	IEEE	Piscataway, NJ, USA	Computer Science; Education & Educational Research (provided by Clarivate Analytics)			20					10.1109/MSIEID52046.2020.00058	978-1-6654-1541-5	[978-1-6654-1541-5/20/$31.00]	INSPEC:20511040				2021-12-06
J	INSPEC:19854151	Conference Paper			Research on Application of Distributed Server Architecture for Virtual Reality Scenarios in Big Data Environment	Baiqiang Gan; Chi Zhang						2020 International Conference on Computer Information and Big Data Applications (CIBDA). Proceedings	2020	2020					52	55	52-5			2020 International Conference on Computer Information and Big Data Applications (CIBDA)	17-19 April 2020	Guiyang, China			English	As the mainstream big data distributed computing framework cannot meet the requirements of virtual reality applications for high real-time business and data-intensive services, this paper designs a distributed server cluster system, which is deployed on Alibaba Cloud and Tencent Cloud. In the case of high concurrency, it provides users with a variety of high real-time data services to meet the requirements of real-time, high availability, and high scalability, and solves the problems of high-concurrency user interaction and massive data storage and transmission in virtual reality systems. The distributed server cluster system can customize different policies according to specific business and cooperate with cloud computer resources to ensure data security and transmission efficiency. The experimental results show that the modules and algorithms of the system designed in this paper can run correctly, and the distributed server cluster system designed in this paper can meet the needs and goals of large-scale virtual reality scenarios.			Practical/ Big Data; business data processing; cloud computing; security of data; software architecture; virtual reality/ distributed server cluster system; cloud computer resources; data security; transmission efficiency; large-scale virtual reality scenarios; distributed server architecture; big data environment; mainstream big data; virtual reality applications; high real-time business; data-intensive services; real-time data services; high-concurrency user interaction; massive data storage; virtual reality systems; Alibaba Cloud; Tencent Cloud/ C7100 Business and administrative computing; C6190J Internet software; C6110B Software engineering techniques; C6130S Data security; C6130V Virtual reality	G06F9/44 Arrangements for executing specific programmes; G06F21/00 Security arrangements for protecting computers or computer systems against unauthorised activity; G06Q10/00 Administration, e.g. office automation or reservations; Management, e.g. resource or project management; G06F16/00 Information retrieval; Database structures therefor; File system structures therefor	Baiqiang Gan; Guangzhou Nanyang Polytech., Guangzhou, China.Chi Zhang; Nanfang Coll. of Sun Yat-sen Univ., Guangzhou, China.				0	0	IEEE Computer Society	Los Alamitos, CA, USA	Business & Economics; Computer Science (provided by Clarivate Analytics)			9					10.1109/CIBDA50819.2020.00020	978-1-7281-9837-8	[978-1-7281-9837-8/20/$31.00]	INSPEC:19854151				2021-12-06
J	INSPEC:19405721	Conference Paper, Journal Paper			Design of a relief materials delivery system based on UAV	Zhu Wenjian; Zhong Sidong; Chen RongJie; Xie Jingchang; Li Yeqian; Cao Huiru						IOP Conference Series: Materials Science and Engineering	2020	2020	715			IOP Conf. Ser., Mater. Sci. Eng. (UK)	012049 (2 pp.)	012049 (2 pp.)	012049 (2 pp.)			3rd International Conference on Material Engineering and Advanced Manufacturing Technology	26-28 April 2019	Shanghai, China			English	The quality and efficiency of traditional rescue work are seriously affected by the destruction of roads and road traffic. In view of these existing problems, the current work investigates the delivery of relief materials using an unmanned aerial vehicle (UAV). At present, studies investigating the delivery of emergency relief materials are few, the technology is not mature, the disadvantage is bigger. In this paper, the UAV material delivery system can realize the function of automatic navigation and automatic delivery of materials. The experimental results show that, in a large number of delivery tests, 97% of deliveries contained a delivery error within 4 m, 64% of deliveries contained a delivery error within 2 m. The average delivery error was 1.86 m. The results of the experiment show that the accuracy of the UAV material delivery system is high, and the test results can provide reference for the further study of the robot.			Practical/ autonomous aerial vehicles; emergency services; mobile robots; road traffic control/ rescue work; road traffic; emergency relief materials; UAV material delivery system; automatic delivery; relief material delivery system; unmanned aerial vehicle; automatic navigation/ C3360L Aerospace control; C3390C Mobile robots; C3360B Road-traffic system control	B60W Conjoint control of vehicle sub-units of different type or different function; Control systems specially adapted for hybrid vehicles; Road vehicle drive control systems for purposes not related to the control of a particular sub-unit; G05D1/00 Control of position, course, altitude, or attitude of land, water, air, or space vehicles, e.g. automatic pilot; G08G1/00 Traffic control systems for road vehicles	Zhu Wenjian; Zhong Sidong; Chen RongJie; Xie Jingchang; Li Yeqian; Cao Huiru; Sch. of Electr. & Comput. Eng., Nanfang Coll. of Sun Yat-Sen Univ., Guangzhou, China.				1	1	IOP Publishing	UK	Engineering; Automation & Control Systems; Robotics; Transportation (provided by Clarivate Analytics)			10				1757-8981	10.1088/1757-899X/715/1/012049			INSPEC:19405721	gold			2021-12-06
J	INSPEC:20511060	Conference Paper			Analysis on the influence of green trade barrier's degree on Vegetable export in China based on gravity model	Ying Zhou; Senquan Kong; Shiue-Hung Lin						2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	2020	2020					128	135	128-35			2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	18-20 Dec. 2020	Guangzhou, China			English	The United States, the European Union and most RCEP members are important vegetable importers of China. However, in recent years, against the background of anti-globalization, many countries have set up green trade barriers of different degrees for vegetable import. Trade gravity model is a theoretical hypothesis established by Newton's gravitation formula, which is used by economists to explain the problem of determining the flow of trade within a sector. This paper uses the time series data from 2000 to 2019, modifies the gravity model, and uses STATA 12.0 for regression to analyze the impact of the green trade barrier degree of China's main vegetable trade companies on China, and analyzes the changing trend of this influence. Based on the analysis results, we can see the influence of green trade barriers on China's vegetable products is expected to be further reduced, especially after the signing of the RCEP, so China's export will increase, but China's vegetable export direction is going to focus on the east area in the short term. We suggest that China comply with international standards, improve the supply chain and logistics system of agricultural products, enhance the international competitiveness of vegetable products and diversify trade directions.			Economic/ agricultural products; international trade; time series; trade barriers; vegetation/ trade gravity model; Newton's gravitation formula; green trade barrier degree; main vegetable trade companies; green trade barriers; vegetable products; vegetable export direction; trade directions; important vegetable importers; vegetable import/ C1140Z Other topics in statistics; E0220 Economics; E1780 Products and commodities; E3010 Agriculture	A01 Agriculture; Forestry; Animal husbandry; Hunting; Trapping; Fishing	Ying Zhou; Senquan Kong; Shiue-Hung Lin; Bus. Coll., NanFang Coll. of Sun-Yat-Sen Univ., Guangzhou, China.				0	0	IEEE	Piscataway, NJ, USA	Mathematics; Computer Science; Business & Economics; Engineering; Agriculture (provided by Clarivate Analytics)			22					10.1109/MSIEID52046.2020.00031	978-1-6654-1541-5	[978-1-6654-1541-5/20/$31.00]	INSPEC:20511060				2021-12-06
J	INSPEC:20588150	Conference Paper			Analysis of Regional Logistics in Guangdong-Hong Kong-Macao Greater Bay Area Based on Grey Clustering	Weiguo Li						2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	2020	2020					591	594	591-4			2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	18-20 Dec. 2020	Guangzhou, China			English	Regional logistics as a leading force in the development of regional economic systems became more and more important. This article, applying the gray relational cluster analysis method to analyze the relevant economic and logistics indicators of 11 cities in the Guangdong-Hong Kong-Macao Greater Bay Area, analyzes the factors that have a greater impact on logistics and puts forward certain guiding suggestions for improvement in response to these factors. It is conducive to the healthy development of the logistics industry in the Hong Kong-Macao Greater Bay Area..(Abstract).			Practical; Theoretical or Mathematical/ economics; grey systems; logistics; pattern clustering/ logistics industry; regional logistics; Guangdong-Hong Kong-Macao Greater Bay Area; grey clustering; regional economic systems; gray relational cluster analysis method; economic logistics/ E1010 Production management; E0210E Combinatorial mathematics; E0220 Economics		Weiguo Li; Bus. Sch., Nanfang Coll. of Sun Yat-sen Univ., Guangzhou, China.				0	0	IEEE	Piscataway, NJ, USA	Engineering; Business & Economics; Mathematics; Computer Science (provided by Clarivate Analytics)			22					10.1109/MSIEID52046.2020.00117	978-1-6654-1541-5	[978-1-6654-1541-5/20/$31.00]	INSPEC:20588150				2021-12-06
J	INSPEC:20511057	Conference Paper			CSR Disclosure and Stock Return Volatility in China: An Empirical Study Based on Panel Data Models	Xin Yang						2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	2020	2020					55	58	55-8			2020 Management Science Informatization and Economic Innovation Development Conference (MSIEID)	18-20 Dec. 2020	Guangzhou, China			English	Corporate social responsibility (CSR) considers the sustainable development of environment and economy simultaneously, yet its impact on the stock market is controversial among academics. This paper examines the influencing factors of stock price volatility from the perspective of CSR information disclosure. This study takes Shanghai and Shenzhen A-share listed companies from 2015 to 2019 as samples, and constructs panel data models to test the impact of CSR information disclosure on stock return volatility. The results show that CSR disclosure is negatively related with stock return volatility. It indicates that the disclosures of corporate social responsibility by corporations significantly reduce the risk of future stock volatility in the financial markets. After conducting robustness tests, the above conclusion still holds. This paper not only enriches the influencing factors of stock return volatility, but also provides new empirical support for the prevention of stock volatility risk.			Theoretical or Mathematical/ corporate social responsibility; financial management; pricing; stock markets; sustainable development/ constructs panel data models; CSR information disclosure; stock return volatility; CSR disclosure; corporate social responsibility; future stock volatility; stock volatility risk; stock market; stock price volatility; time 2019.0 as/ C1290D Systems theory applications in economics and business; C1140Z Other topics in statistics; E0260 Social and political issues; E0110 Organisational aspects; E0120K Financial management; E0230 Environmental issues/ time 2.019E-15 s	G06Q40/04 Exchange, e.g. stocks, commodities, derivatives or acurrency exchange	Xin Yang; Sch. of Bus., Nanfang Coll. of Sun Yat-sen Univ., Guangzhou, China.				0	0	IEEE	Piscataway, NJ, USA	Computer Science; Business & Economics; Mathematics; Social Issues; Environmental Sciences & Ecology (provided by Clarivate Analytics)			16					10.1109/MSIEID52046.2020.00018	978-1-6654-1541-5	[978-1-6654-1541-5/20/$31.00]	INSPEC:20511057				2021-12-06
J	INSPEC:19590861	Conference Paper, Journal Paper			A Scientometric Analysis of Self-tracking in Relation to Artificial Intelligence and Big Data	Xue Wu; Man Zhao; Han-Teng Liao; Si-Pan Sun						IOP Conference Series: Materials Science and Engineering	2020	2020	806			IOP Conf. Ser., Mater. Sci. Eng. (UK)	012014 (6 pp.)	012014 (6 pp.)	012014 (6 pp.)			International Conference on AI and Big Data Application (AIBDA 2019)	20-22 Dec. 2019	Guangzhou, China			English	As an increasing amount of personal data has been gathered by wearable and mobile devices, self-tracking, or the practice that people keep track, has become an important topic in Artificial Intelligence (AI) and big data applications. With the aim to provide a systematic review of the literature on self-tracking, this paper presents a scientometric analysis of 109 articles since 2000 collected from the Web of Science. Based on keyword co-occurrence network analysis, the paper has identified four major clusters: (1) wearables as quantified-self applications; (2) big data and critical theory; (3) data and privacy; (4) personal informatics. The further keywords-in-context (KWIC) analysis of the abstracts of the dataset clarifies the seemingly-interchangeable notions of ldquoself-trackingrdquo and ldquoquantified-selfrdquo: While ldquoself-trackingrdquo refers to more general activities, practices, technologies, and applications of keeping tracks, ldquoquantified-selfrdquo refers to the more conscious efforts and meaning-making outcomes of the self-tracking activities. Such clarification, along with the keyword network analysis, suggests that self-tracking has become a specific and major type of datafication of human conditions or existence and that quantified-self is the construction of self through such datafication. A more integrated conceptual framework is needed for future research to better understand what amounts to meaningful datafication of human conditions and existence, thereby helping researchers and designers to discern the classic notions of health, wellness, and happiness for better research and design outcomes.			Practical/ artificial intelligence; Big Data; data privacy; text analysis/ scientometric analysis; personal data; wearable devices; mobile devices; big data; keyword co-occurrence network analysis; privacy; keywords-in-context analysis; self-tracking; artificial intelligence; Web of Science; personal informatics/ C6130D Document processing techniques; C6130S Data security; C6170 Expert systems and other AI software and techniques; C7240 Information analysis and indexing	G06F17/21 Text processing; G06F21/00 Security arrangements for protecting computers or computer systems against unauthorised activity; G06F16/00 Information retrieval; Database structures therefor; File system structures therefor	Xue Wu; Man Zhao; Han-Teng Liao; Si-Pan Sun; New Media Res. Centre, Sun Yat-sen Univ. Nanfang Coll., Guangzhou, China.		Liao, Han-Teng/AAC-5793-2019	Liao, Han-Teng/0000-0003-1081-5599	0	0	IOP Publishing	UK	Computer Science (provided by Clarivate Analytics)			23				1757-8981	10.1088/1757-899X/806/1/012014			INSPEC:19590861	gold			2021-12-06
J	INSPEC:20531761	Conference Paper			User Experience Research of Queuing System based in Chinese Smart Bank Branches	Yongkang Xing; XueXin Cai; Kun Li; Qiao Lu; XiaoYan Wang; Jian Ruan						AIVR 2020: 2020 4th International Conference on Artificial Intelligence and Virtual Reality	2020	23 Oct.					56	61	56-61			AIVR 2020: 2020 4th International Conference on Artificial Intelligence and Virtual Reality	23-25 Oct. 2020	Kumamoto, Japan			English	With the development of Internet finance, customer behavior and consumption habits have transformed and brought new challenges to commercial banks' traditional branches in China. Bank branches face the pressure of rising operating costs, declining profits, and being gradually replaced by online services. Under the smart economic trend, bank branches are facing significant transforming and upgrading. Branches will gradually transform their roles from traditional business transaction centers to product marketing and customer experience centers. The intelligent upgrading and transformation of branches play an essential role in accelerating the process. In this paper, our research focuses on user experience in the smart branch and adjust with the smart society development trend. We study smart diversions' pre-processing at smart branches, establish smart queuing models, and mobile appointment systems to control the queue. We compare the smart model with the traditional under the bank's virtual simulation system. Use customer waiting time for service and employee work intensity as essential indicators of the queuing model. The simulation results show that the branch uses intelligent distribution is much more efficient than the traditional one. Customer experience and service efficiency are greatly improved.			Practical; Theoretical or Mathematical/ banking; customer services; Internet; personnel/ customer experience centers; smart branch; smart society development trend; smart diversions; smart queuing models; mobile appointment systems; smart model; customer waiting time; queuing model; user experience research; Internet finance; customer behavior; commercial banks; smart economic trend; product marketing; Chinese smart bank branches/ C7120 Financial computing; C7210N Information networks	G06Q30/00 Commerce, e.g. marketing, shopping, billing, auctions or e-commerce; G06Q40/00 Finance, e.g. banking, investment or tax processing; Insurance, e.g. risk analysis or pensions	Yongkang Xing; Kun Li; Qiao Lu; XiaoYan Wang; Jian Ruan; Guangdong Univ. of Finance, Guangdong, China.XueXin Cai; Nanfang Coll. of Sun Yat-sen Univ., Nanfang, China.				0	0	ACM	New York, NY, USA	Computer Science; Business & Economics (provided by Clarivate Analytics)								10.1145/3439133.3439143	978-1-4503-8799-6		INSPEC:20531761				2021-12-06
J	INSPEC:20808540	Conference Paper, Journal Paper			Research on the policy of renewable energy development in China	Chen Xi; Guo Ting; Feng Zhi'an; Qian Wei						E3S Web of Conferences	2021	2021	293			E3S Web Conf. (France)	03033 (4 pp.)	03033 (4 pp.)	03033 (4 pp.)			2021 3rd Global Conference on Ecological Environment and Civil Engineering (GCEECE 2021)	25-27 June 2021	Guangzhou, China			English	On the 19th National Congress of the Communist Party of China, It is stressed that that China will establish and improve the economic system of green and low-carbon circular development and promote the reform of energy system and develop the renewable energy, and then it is urgent for China to not only master the basic laws of the world's renewable energy development, comply with the trend and trend of energy reform, but also promote the development of renewable energy based on national conditions and regional conditions, so as to achieve higher quality development of economy and society.			Practical/ air pollution control; government policies; renewable energy sources/ renewable energy development; National Congress; Communist Party of China; economic system; low-carbon circular development; energy system; energy reform; quality development; policy research/ A8605 Energy and environmental policy, economics and legislation; A8610 Energy resources and fuels; B8110B Power system management, operation and economics; B8210 Energy resources; B7720 Pollution detection and control; E0230 Environmental issues; E0260 Social and political issues		Chen Xi; Guangdong Univ. of Foreign Studies, Guangzhou, China.Guo Ting; Feng Zhi'an; Qian Wei; Nanfang Coll. Guangzhou, Guangzhou, China.				0	0	EDP Sciences	France	Engineering; Energy & Fuels; Government & Law; Environmental Sciences & Ecology; Business & Economics; Social Issues (provided by Clarivate Analytics)			6				2267-1242	10.1051/e3sconf/202129303033			INSPEC:20808540	Green Published, gold			2021-12-06
J	INSPEC:20275757	Conference Paper, Journal Paper			The role of emotion in designing self-tracking visualization: where avatars are better choice than dashboard	Xue Wu; Han-Teng Liao; Zijia Wang						Journal of Physics: Conference Series	2020	2020	1693			J. Phys., Conf. Ser. (UK)	012152 (7 pp.)	012152 (7 pp.)	012152 (7 pp.)			2020 3rd International Conference on Computer Information Science and Artificial Intelligence (CISAI) 2020	25-27 Sept. 2020	Inner Mongolia, China			English	The interface design of self-tracking technology still has a lot of room for improvement. At present, self-tracking products with the dashboard as the main interface face challenges in negative user experience and high abandon. In this paper, we try to improve the user experience of such technologies by paying more attention to the role of the user's emotions on the visualization and enhance their willingness to continue to use. Based on our previous study on people-centered self-tracking system design, we think the avatars should be a better choice than dashboards of self-tracking technologies. In order to detect whether avatars can bring more positive emotions than the dashboards, and to reduce abandon, we designed and implemented three phases of usability testing: a questionnaire of popular self-tracking applications in the market, a self-tracking product emotional research based on avatar and dashboards, and a questionnaire based on self-tracking APP prototype with avatar template. Through these usability testing, we obtained results that users are more tend to adopt the avatar one. This paper then proposed results that 9 emotions are significantly different when using these two different interface designs of self-tracking visualization. With such results of research, two implication for principles of sustainable interaction design of self-tracking applications had been proposed in this paper as 1) Understandability; 2) Performance optimizations. We hope to provide a new form of visualization for the interface design of self-tracking technology and complement usability research results of such design.			Practical/ avatars; data visualisation; emotion recognition; human computer interaction; mobile computing; user interfaces/ self-tracking visualization; interface design; self-tracking technology; self-tracking products; negative user experience; people-centered self-tracking system design; positive emotions; usability testing; popular self-tracking applications; self-tracking product emotional research; self-tracking APP prototype; avatar template; interface designs; sustainable interaction design/ C6180G Graphical user interfaces; C6190V Mobile, ubiquitous and pervasive computing; C6130B Graphics techniques; C6130V Virtual reality	G06F3/048 Interaction techniques for graphical user interfaces, e.g. interaction with windows, icons or menus; G06F9/44 Arrangements for executing specific programmes	Xue Wu; Han-Teng Liao; Zijia Wang; New Media Res. Centre, Sun Yat-sen Univ. Nanfang Coll., Guangzhou, China.				0	0	IOP Publishing	UK	Computer Science (provided by Clarivate Analytics)			13				1742-6596	10.1088/1742-6596/1693/1/012152			INSPEC:20275757	gold			2021-12-06
J	INSPEC:20676928	Conference Paper			A Scientific Quantitative Analysis of Occupation Training and Education Driven by Information Technology Based on Big Data Analysis Technology and Visualization Software	Chung-Lien Pan; Yan-Tong Lin; Qi-Wei Huang; Shan-Wei Li; Yu-Rong Lin; Wei-Keng Zhou; Xing-Han Chen						2020 International Conference on Information Science and Education (ICISE-IE)	2020	2020					167	170	167-70			2020 International Conference on Information Science and Education (ICISE-IE)	4-6 Dec. 2020	Sanya, China			English	At present, the information technology service industry is showing a good development trend. The rapid development of information technology has a significant impact on various fields. Driven by information technology, vocational training and education also enjoy the dividend brought by the development of information technology. In this context, vocational training provides more workers with endless opportunities, promotes the development of the labor market, and brings help to the wage problem of young people, especially some children. At the same time, vocational training is closely related to employment and education, which has brought certain changes to the youth and the labor market. Moreover, the state's attention to vocational training is also increasing, and vocational training is of great significance to the transformation of employment and education. However, there is a gap in the bibliometric analysis of this topic. Based on 694 articles retrieved from the web of science database from 1950 to 2020, this paper mainly reviews the highly cited literature on "vocational training", "employment", "education", "Youth", "labor market". By using big data analysis technology and visualization software, the author's key points such as keywords, main research institutions, countries, and publication sources are analyzed in detail. This paper makes a contribution to the literature of vocational training, employment, and education from the perspective of scientific measurement, to understand the impact of vocational training, education, and employment on youth and the labor market.			Practical/ Big Data; computer aided instruction; data analysis; data visualisation; information analysis; information retrieval; Internet; vocational training/ big data analysis technology; information technology service industry; vocational training; labor market; employment; visualization software; occupation training; scientific quantitative analysis/ C7810C Computer-aided instruction; C7250R Information retrieval techniques; C6130B Graphics techniques; C7210N Information networks	G09B5/00 Electrically-operated educational appliances; G06F16/00 Information retrieval; Database structures therefor; File system structures therefor	Chung-Lien Pan; Yan-Tong Lin; Qi-Wei Huang; Shan-Wei Li; Yu-Rong Lin; Wei-Keng Zhou; Xing-Han Chen; Nanfang Coll. of Sun Yat-Sen Univ. Guangzhou, Guangzhou, China.			Pan, Chung Lien/0000-0001-9488-5329	0	0	IEEE	Piscataway, NJ, USA	Education & Educational Research; Computer Science (provided by Clarivate Analytics)			9					10.1109/ICISE51755.2020.00042	978-1-6654-2261-1	[978-1-6654-2261-1/20/$31.00]	INSPEC:20676928				2021-12-06
