PT	AN	DT	TI	FT	AU	CA	SO	VL	IS	PS	PY	PD	LA	U1	U2	AB	A2	C1	RI	OI	MH	SS	ID	SD	GN	CN	NM	SF	SC	SN	JC	PA	GI	OB	SA	IV	NR	RC	NO	PE	NT	DI	UT	OA	HC	HP	DA
J	33806652	Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Review	A Model-Based Meta-Analysis of Willingness to Participate in Cancer Screening.		Feng, Guangchao Charles; Lin, Zhiliang; Ou, Wanhua; Su, Xianglin; Yan, Qing		International journal of environmental research and public health	18	5		2021	2021 03 04	English	3	3	Although early screening tests are beneficial for the detection and treatment of cancers, many people have failed to participate in screening tests. The present study aims to explore the theoretical underpinning of low participation in screening programs using the method of meta-analytic structural equation modeling. It was found that the health belief model is the most adopted theoretical framework. Moreover, the intended uptake of screening was positively predicted only by cues to action, health literacy, and perceived susceptibility. As a result, a health intention model, including the three significant variables, is proposed. The practical implications of the findings are that health communication campaigns should focus on enlightening and engaging the public through all necessary means to raise awareness and transfer knowledge in relation to screening procedures as well as cancers per se.		College of Communication, Shenzhen University, Shenzhen 518600, China.; School of Literature and Media, Nanfang College of Sun Yat-sen University, Guangzhou 510970, China.; School of Journalism and Communication, Jinan University, Guangzhou 510610, China.			*Early Detection of Cancer. Health Knowledge, Attitudes, Practice. Humans. Intention. Mass Screening. *Neoplasms / diagnosis	Index Medicus	cancer screening; health belief model; model-based meta-analysis						Oncology; Psychology; Behavioral Sciences; Health Care Sciences & Services; Public, Environmental & Occupational Health (provided by Clarivate Analytics)	1660-4601	101238455	Switzerland			MEDLINE			 / 23 Apr 2021 / 23 Apr 2021		04 Mar 2021		10.3390/ijerph18052580	MEDLINE:33806652	gold, Green Published			2021-12-06
J	33108386	Journal Article; Research Support, Non-U.S. Gov't	Modeling and prediction of the 2019 coronavirus disease spreading in China incorporating human migration data.		Zhan, Choujun; Tse, Chi K; Fu, Yuxia; Lai, Zhikang; Zhang, Haijun		PloS one	15	10	e0241171	2020	2020 	English	9	13	This study integrates the daily intercity migration data with the classic Susceptible-Exposed-Infected-Removed (SEIR) model to construct a new model suitable for describing the dynamics of epidemic spreading of Coronavirus Disease 2019 (COVID-19) in China. Daily intercity migration data for 367 cities in China were collected from Baidu Migration, a mobile-app based human migration tracking data system. Early outbreak data of infected, recovered and death cases from official source (from January 24 to February 16, 2020) were used for model fitting. The set of model parameters obtained from best data fitting using a constrained nonlinear optimisation procedure was used for estimation of the dynamics of epidemic spreading in the following months. The work was completed on February 19, 2020. Our results showed that the number of infections in most cities in China would peak between mid February to early March 2020, with about 0.8%, less than 0.1% and less than 0.01% of the population eventually infected in Wuhan, Hubei Province and the rest of China, respectively. Moreover, for most cities outside and within Hubei Province (except Wuhan), the total number of infected individuals is expected to be less than 300 and 4000, respectively.		School of Computing, South China Normal University, Guangzhou, China.; Department of Electrical Engineering, City University of Hong Kong, Kowloon, Hong Kong.; School of Computer Science and Engineering, Nanfang College of Sun Yat-Sen University, Guangzhou, China.; Shenzhen Graduate School, Harbin Institute of Technology, Shenzhen, China.		Tse, Chi/0000-0002-0462-3999	*Betacoronavirus. Big Data. Cell Phone. China / epidemiology. Cities. Coronavirus Infections / epidemiology; prevention & control; *transmission. COVID-19. Humans. Mobile Applications. *Models, Theoretical. *Pandemics / prevention & control. Pneumonia, Viral / epidemiology; prevention & control; *transmission. SARS-CoV-2. Time Factors. *Transportation. *Travel. Travel-Related Illness	Index Medicus							Environmental Sciences & Ecology; Infectious Diseases; Public, Environmental & Occupational Health; Respiratory System (provided by Clarivate Analytics)	1932-6203	101285081	United States			MEDLINE			 / 06 Nov 2020 / 18 Dec 2020		27 Oct 2020		10.1371/journal.pone.0241171	MEDLINE:33108386	Green Published, Green Submitted, gold			2021-12-06
J	33003588	Journal Article	MS Location Estimation Based on the Artificial Bee Colony Algorithm.		Chen, Chien-Sheng; Huang, Jen-Fa; Huang, Nan-Chun; Chen, Kai-Sheng		Sensors (Basel, Switzerland)	20	19		2020	2020 Sep 29	English	1	1	With the mature technology of wireless communications, the function of estimating the mobile station (MS) position has become essential. Suppressing the bias resulting from non-line-of-sight (NLSO) scenarios is the main issue for a wireless location network. The artificial bee colony (ABC) algorithm, based on the depiction of bee swarm's foraging characteristics, is widely applied to solve optimization problems in several fields. Based on three measurements of time-of-arrival (TOA), an objective function is used to quantify the additional NLOS error on the MS positioning scheme. The ABC algorithm is adopted to locate the most precise MS location by minimizing the objective function value. The performance of the proposed positioning methods is verified under various error distributions through computer simulations. Meanwhile, the localization accuracy achieved by other existing methods is also investigated. According to the simulation results, accurate estimation of the MS position is derived and therefore the efficiency of the localization process is increased.		Department of Information Management, Tainan University of Technology, Tainan 701, Taiwan.; Department of Electrical Engineering, National Cheng Kung University, Tainan 710, Taiwan.; School of Electrical and Computer Engineering, Nanfang College of Sun Yat-Sen University, Guangzhou 510970, China.	Chen, Kai-Sheng/N-1013-2016	Chen, Kai-Sheng/0000-0003-3035-9324		Index Medicus	artificial bee colony (ABC); base station (BS); mobile station (MS); non-line-of-sight (NLOS); time of arrival (TOA)							1424-8220	101204366	Switzerland			PubMed-not-MEDLINE			 / 05 Oct 2020 / 29 Oct 2020		29 Sep 2020		10.3390/s20195597	MEDLINE:33003588	gold, Green Published			2021-12-06
J	31284827	Journal Article	Defining compassionate nursing care.		Su, Jing Jing; Masika, Golden Mwakibo; Paguio, Jenniffer Torralba; Redding, Sharon R		Nursing ethics	27	2	480-493	2020	2020 Mar (Epub 2019 Jul 08)	English	3	13	BACKGROUND: Compassion has long been advocated as a fundamental element in nursing practice and education. However, defining and translating compassion into caring practice by nursing students who are new to the clinical practice environment as part of their educational journey remain unclear.OBJECTIVES: The aim of this study was to explore how Chinese baccalaureate nursing students define and characterize compassionate care as they participate in their clinical practice.METHODS: A descriptive qualitative study design was used involving a semi-structured in-depth interview method and qualitative content analysis. Twenty senior year baccalaureate nursing students were interviewed during their clinical practicum experience at four teaching hospitals.ETHICAL CONSIDERATIONS: Permission to conduct the study was received from the Institutional Review Boards and the participating hospitals.RESULTS: Baccalaureate nursing students defined and characterized compassionate care as a union of "empathy" related to a nurse's desire to "alleviate patients' suffering," "address individualized care needs," "use therapeutic communication," and "promote mutual benefits with patients." Students recognized that the "practice environment" was characterized by nurse leaders' interpersonal relations, role modeling by nurses and workloads which influenced the practice of compassionate care by nursing personnel.CONCLUSION: Compassionate care is crucial for patients, nurses, and students in their professional development as well as the development of the nursing profession. In order to provide compassionate care, a positive practice environment promoted by hospital administrators is needed. This also includes having an adequate workforce of nurses who can role model compassionate care to students in their preceptor role while meeting the needs of their patients.		The Chinese University of Hong Kong, Hong Kong; Sun Yat-sen University Nanfang College, China.; The Chinese University of Hong Kong, Hong Kong; University of Dodoma, Tanzania.; The Chinese University of Hong Kong, Hong Kong; University of the Philippines Manila, Philippines.; University of Nebraska, USA.	Masika, Golden Mwakibo/AAM-5093-2020; Paguio, Jenniffer/AAD-3927-2020	Masika, Golden Mwakibo/0000-0003-0581-5797; Paguio, Jenniffer/0000-0001-5779-3580; Su, Jing Jing/0000-0002-8242-811X	Attitude of Health Personnel. Education, Nursing, Baccalaureate / methods. *Empathy. Female. Humans. Interviews as Topic / methods. Nursing Care / methods; *psychology; standards. Qualitative Research. Students, Nursing / *psychology; statistics & numerical data. Young Adult	Nursing	Baccalaureate nursing students; China; clinical practice; compassionate care; qualitative research						Behavioral Sciences; Psychology; Nursing; Education & Educational Research (provided by Clarivate Analytics)	1477-0989	9433357	England			MEDLINE			 / 23 Sep 2020 / 23 Sep 2020		08 Jul 2019		10.1177/0969733019851546	MEDLINE:31284827				2021-12-06
J	32628673	Journal Article; Research Support, Non-U.S. Gov't	Prediction of COVID-19 spreading profiles in South Korea, Italy and Iran by data-driven coding.		Zhan, Choujun; Tse, Chi K; Lai, Zhikang; Hao, Tianyong; Su, Jingjing		PloS one	15	7	e0234763	2020	2020 	English	1	5	This work applies a data-driven coding method for prediction of the COVID-19 spreading profile in any given population that shows an initial phase of epidemic progression. Based on the historical data collected for COVID-19 spreading in 367 cities in China and the set of parameters of the augmented Susceptible-Exposed-Infected-Removed (SEIR) model obtained for each city, a set of profile codes representing a variety of transmission mechanisms and contact topologies is formed. By comparing the data of an early outbreak of a given population with the complete set of historical profiles, the best fit profiles are selected and the corresponding sets of profile codes are used for prediction of the future progression of the epidemic in that population. Application of the method to the data collected for South Korea, Italy and Iran shows that peaks of infection cases are expected to occur before mid April, the end of March and the end of May 2020, and that the percentage of population infected in each city or region will be less than 0.01%, 0.5% and 0.5%, for South Korea, Italy and Iran, respectively.		School of Computing, South China Normal University, Guangzhou, China.; Department of Electrical Engineering, City University of Hong Kong, Hong Kong, China.; School of Electrical and Computer Engineering, Nanfang College of Sun Yat-Sen University, Guangzhou, China.; Nethersole School of Nursing, The Chinese University of Hong Kong, Hong Kong, China.	Su, Jing Jing/S-4830-2019	Su, Jing Jing/0000-0002-8242-811X; Tse, Chi/0000-0002-0462-3999	*Betacoronavirus. Cities / epidemiology. Coronavirus Infections / diagnosis; *epidemiology; *transmission; virology. COVID-19. Data Science / *methods. Humans. Iran / epidemiology. Italy / epidemiology. Models, Statistical. Pandemics. Pneumonia, Viral / diagnosis; *epidemiology; *transmission; virology. Prognosis. Republic of Korea / epidemiology. SARS-CoV-2	Index Medicus							Environmental Sciences & Ecology; Infectious Diseases; Public, Environmental & Occupational Health; Respiratory System (provided by Clarivate Analytics)	1932-6203	101285081	United States			MEDLINE			 / 15 Jul 2020 / 18 Dec 2020		06 Jul 2020		10.1371/journal.pone.0234763	MEDLINE:32628673	Green Submitted, Green Published, gold			2021-12-06
J	32298280	Journal Article; Research Support, Non-U.S. Gov't	A bit toggling approach for AMBTC tamper detection scheme with high image fidelity.		Hong, Wien; Li, Dan; Lou, Der-Chyuan; Zhou, Xiaoyu; Chang, Chien-Hung		PloS one	15	4	e0230997	2020	2020 	English	2	2	The existing tamper detection schemes for absolute moment block truncation coding (AMBTC) compressed images are able to detect the tampering. However, the marked image qualities of these schemes can be enhanced, and their authentication methods may fail to detect some special tampering. We propose a secure AMBTC tamper detection scheme that preserves high image fidelity with excellent detectability. In the proposed approach, a bit in bitmaps of AMBTC codes is sequentially toggled to generate a set of authentication codes. The one that causes the least distortion is embedded into the quantization levels with the guidance of a key-generated reference table (RT). Without the correct key, the same reference table cannot be constructed. Therefore, the proposed method is able to detect various kinds of malicious tampering, including those special tampering techniques designed for RT-based authentication schemes. The proposed method not only offers better image quality, but also provides an excellent and satisfactory detectability as compared with previous works.		School of Electrical and Computer Engineering, Nanfang College of Sun Yat-Sen University, Guangzhou, China.; Department of Computer Science and Information Engineering, Chang Gung University, Taoyuan, Taiwan.; Stroke Center and Department of Neurology, Chang Gung Memorial Hospital, New Taipei, Taiwan.; College of Medicine, Chang Gung University, Taoyuan, Taiwan.		Lou, Der-Chyuan/0000-0001-6697-7648	Algorithms. Computer Security / standards; statistics & numerical data. Data Compression / standards; statistics & numerical data. Humans. *Image Processing, Computer-Assisted / standards; statistics & numerical data. Internet / standards; statistics & numerical data. *Security Measures / standards; statistics & numerical data	Index Medicus							Mathematics; Computer Science; Medical Informatics; Imaging Science & Photographic Technology (provided by Clarivate Analytics)	1932-6203	101285081	United States			MEDLINE			 / 10 Jul 2020 / 10 Jul 2020		16 Apr 2020		10.1371/journal.pone.0230997	MEDLINE:32298280	Green Published, gold			2021-12-06
J	32824328	Journal Article	Geometric Modelling for 3D Point Clouds of Elbow Joints in Piping Systems.		Chan, Ting On; Xia, Linyuan; Lichti, Derek D; Sun, Yeran; Wang, Jun; Jiang, Tao; Li, Qianxia		Sensors (Basel, Switzerland)	20	16		2020	2020 Aug 16	English	5	5	Pipe elbow joints exist in almost every piping system supporting many important applications such as clean water supply. However, spatial information of the elbow joints is rarely extracted and analyzed from observations such as point cloud data obtained from laser scanning due to lack of a complete geometric model that can be applied to different types of joints. In this paper, we proposed a novel geometric model and several model adaptions for typical elbow joints including the 90° and 45° types, which facilitates the use of 3D point clouds of the elbow joints collected from laser scanning. The model comprises translational, rotational, and dimensional parameters, which can be used not only for monitoring the joints' geometry but also other applications such as point cloud registrations. Both simulated and real datasets were used to verify the model, and two applications derived from the proposed model (point cloud registration and mounting bracket detection) were shown. The results of the geometric fitting of the simulated datasets suggest that the model can accurately recover the geometry of the joint with very low translational (0.3 mm) and rotational (0.064°) errors when ±0.02 m random errors were introduced to coordinates of a simulated 90° joint (with diameter equal to 0.2 m). The fitting of the real datasets suggests that the accuracy of the diameter estimate reaches 97.2%. The joint-based registration accuracy reaches sub-decimeter and sub-degree levels for the translational and rotational parameters, respectively.		Guangdong Provincial Key Laboratory of Urbanization and Geo-Simulation, School of Geography and Planning, Sun Yat-sen University, Guangzhou 510000, China.; Department of Geomatics Engineering, University of Calgary, 2500 University Dr NW, Calgary, AB T2N 1N4, Canada.; Department of Geography, College of Science, Swansea University, Swansea SA28PP, UK.; School of Electrical and Computer Engineering, Nanfang College of Sun Yat-sen University, Guangzhou 510000, China.		Chan, Ting On/0000-0002-3318-7540		Index Medicus	elbow joints; geometric model; laser scanning; point cloud registration							1424-8220	101204366	Switzerland	37000-31610444 / Fundamental Research Funds for the Central UniversitiesFundamental Research Funds for the Central Universities		PubMed-not-MEDLINE			 / 26 Aug 2020 / 18 Sep 2020		16 Aug 2020		10.3390/s20164594	MEDLINE:32824328	gold, Green Published			2021-12-06
J	32650159	Journal Article	Triclosan and triclocarbon in maternal-fetal serum, urine, and amniotic fluid samples and their implication for prenatal exposure.		Bai, Xueyuan; Zhang, Bo; He, Yuan; Hong, Danhong; Song, Shiming; Huang, Yingyan; Zhang, Tao		Environmental pollution (Barking, Essex : 1987)	266	Pt 1	115117	2020	2020 Nov (Epub 2020 Jul 02)	English	11	40	Copyright © 2020 Elsevier Ltd. All rights reserved.Triclosan (TCS) and Triclocarbon (TCC) are chlorinated synthetic antimicrobial agents formaternal urinelated in quantities of consumer products. However, the biomonitoring of direct exposure reflection for fetuses are rare. In this study, we determine the concentrations of TCS and TCC in paired maternal serum, cord serum, maternal urine, and amniotic fluid samples collected from a cohort of 95 expecting mother-fetal pairs in Southern China. TCS and TCC are detected widely (detection rates: >76.9%) in maternal serum, cord serum, maternal urine, and amniotic fluid samples. TCS is found to be the predominant antimicrobial agent with median concentrations in maternal serum (1.5ng/mL) and cord serum (1.8ng/mL) that are one order of magnitude higher than those of tcc in maternal serum (0.085ng/mL) and cord serum (0.052ng/mL), respectively. Cord serum concentrations of tcs and tcc correlated well with the concentrations in maternal serum, which reflect the mothers' contribution to fetal exposure. The higher median ratio of cord serum/maternal serumTCS (0.95) compared to that of cord serum/maternal serumTCC (0.53) indicates high placental transmission ability of TCS. Moreover, the facility to penetrate the placental barrier and hard to depurate characteristics lead to the long residence of TCS in the fetal environment, causing great concern over the prenatal exposure risks during the critical window of fetal development. This study provides a novel contribution by increasing existing knowledge on the exposure assessment of TCS and TCC during pregnancy through the exploration of matched maternal-fetal samples.		School of Environmental Science and Engineering, Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology, Sun Yat-sen University, Guangzhou, 510275, PR China.; School of Foreign Languages, Nanfang College of Sun Yat-Sen University, Guangzhou, 510970, China.; School of Environmental Science and Engineering, Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology, Sun Yat-sen University, Guangzhou, 510275, PR China. Electronic address: zhangt47@mail.sysu.edu.cn.			Amniotic Fluid / chemistry. Carbanilides / *analysis. China. Female. Humans. Pregnancy. *Prenatal Exposure Delayed Effects. Triclosan / *analysis	Index Medicus	Elimination; Placental transfer; Prenatal exposure risk; Triclocarban; Triclosan			0 / Carbanilides. 4NM5039Y5X / Triclosan			Developmental Biology; Reproductive Biology; Obstetrics & Gynecology (provided by Clarivate Analytics)	1873-6424	8804476	England			MEDLINE			 / 15 Sep 2020 / 15 Sep 2020		02 Jul 2020		10.1016/j.envpol.2020.115117	MEDLINE:32650159				2021-12-06
J	33128202	Journal Article	Maternal Delivery at Home: Issues in India.		Ou, Chung-Ya; Yasmin, Masuma; Ussatayeva, Gainel; Lee, Ming-Shinn; Dalal, Koustuv		Advances in therapy	38	1	386-398	2021	2021 01 (Epub 2020 Oct 30)	English	0	3	INTRODUCTION: Maternal delivery at home without skilled care at birth is a major public health issue. The current study aimed to assess the various contributing and eliminating factors of maternal delivery at home in India. The reasons for not delivering at healthcare facilities were also explored.METHODS: The study used the National Family Health Surveys (NFHS)-4 (2015-2016) data from states and union territories of India for analysis. A national representative sample of 699,686 women of reproductive age group (15-49years) was used. Cross-tabulation and multivariate logistic regression analyses were performed.RESULTS: The prevalence of home delivery in India was 22%, among which 34% of women believed that institutional delivery was not a necessity. Financial constraints, lack of proper transportation facilities, non-accessibility of healthcare institutions and not getting permission from family members were the main reasons cited by the women for delivering at home. The proportion of home deliveries was much higher among women from more disadvantaged socioeconomic areas than women from less disadvantaged socioeconomic areas. Domestic violence and partner control were essential factors contributing to the prevalence of home delivery. However, the women who owned mobile phones and used a short message service (SMS) facility delivered at home less often.CONCLUSION: Policymakers should focus more on the women living in disadvantaged socioeconomic areas and other marginalised populations with less education and low economic levels to provide them with optimum delivery care utilisation. Strengthening of public healthcare facilities and more effective use of skilled birth attendents and their networking are essential steps. Electronic and economic empowerment of women should be emphasised to bring about a significant reduction in the proportion of home deliveries in India.		School of Public Administration, Nanfang College of Sun Yat-Sen University, Guangzhou, People's Republic of China.; Kolkata Hematology Education and Research Initiatives, Kolkata, India.; Department of Epidemiology, Biostatistics and EBM, Faculty of Medicine and Health Care, Al-Farabi Kazakh National University, Almaty, Kazakhstan.; Department of Education and Human Potentials Development, National Dong-Hwa University, Hualien, Taiwan.; Department of Epidemiology, Biostatistics and EBM, Faculty of Medicine and Health Care, Al-Farabi Kazakh National University, Almaty, Kazakhstan. koustuv.dalal@miun.se.; Department of Public Health Science, School of Health Sciences, Mid Sweden University, Sundsvall, Sweden. koustuv.dalal@miun.se.	Ussatayeva, Gainel/AAT-9507-2021; Dalal, Koustuv/O-6737-2017	Ussatayeva, Gainel/0000-0001-6730-295X; Dalal, Koustuv/0000-0001-7393-796X	Adolescent. Adult. Educational Status. Family. Female. Health Services Accessibility. *Home Childbirth. Humans. India. Middle Aged. Pregnancy. Socioeconomic Factors. Young Adult	Health Technology Assessment	Empowerment; Home delivery; India; Maternal health; Maternal mortality; Socioeconomic neighbourhood disadvantage index; Womens health						Pediatrics; Education & Educational Research; Family Studies; Sociology; Health Care Sciences & Services; Surgery; Obstetrics & Gynecology; Reproductive Biology (provided by Clarivate Analytics)	1865-8652	8611864	United States			MEDLINE			 / 14 Apr 2021 / 14 Apr 2021		30 Oct 2020		10.1007/s12325-020-01551-3	MEDLINE:33128202	Green Published, hybrid			2021-12-06
J	34049091	Journal Article	Learning compassionate care: Experiences of nursing students.		Su, Jing Jing; Paguio, Jenniffer Torralba; Masika, Golden Mwakibo; Wang, Mian; Redding, Sharon R		Nurse education in practice	53		103092	2021	2021 May (Epub 2021 May 18)	English	2	2	Copyright © 2021 Elsevier Ltd. All rights reserved.Compassion is a core value of the nursing profession which enables nurses to empathize with and help alleviate patient suffering. Literature increasingly reports a lack of compassion in patient care by students and junior nurses; empirical knowledge regarding experiences of compassionate care among nursing students remains understudied. Student experiences in the clinical setting may influence their development of compassion competencies. This study explored the experiences of baccalaureate nursing students in gaining competencies to deliver compassionate care during their clinical practice year. A descriptive qualitative study using semi-structured in-depth interviews was conducted. Thematic analysis was employed, generating six themes. The first three themes depict positive aspects of compassion development, including 'gaining patient acceptance,' 'motivation for professional growth,' and 'establishing an emotional bond with patients.' On the other hand, the other three themes capture the barriers to compassionate care, 'distrust,' 'fear of harm due to violence,' and 'heavy workload.' The positive and negative experiences shared by students indicate that hospital and nursing administrators need to foster a positive practice environment and nursing instructors should become role models to encourage compassionate care.		World Health Organization Collaborating Center for Community Health Services, School of Nursing, the Hong Kong Polytechnic University, Hong Kong Special Administrative Region; Department of Health and Nursing, Sun Yat-sen University Nanfang College, Guangdong, China. Electronic address: sujj@link.cuhk.edu.hk.; College of Nursing, the University of the Philippines - Manila, Manila, Philippines.; Department of Nursing and Midwifery, College of Health Sciences, The University of Dodoma, Dodoma, Tanzania.; World Health Organization Collaborating Center for Community Health Services, School of Nursing, the Hong Kong Polytechnic University, Hong Kong Special Administrative Region.; University of Nebraska, College of Nursing, Omaha, NE, USA.	Su, Jing Jing/S-4830-2019	Su, Jing Jing/0000-0002-8242-811X	*Education, Nursing, Baccalaureate. Empathy. Faculty, Nursing. Humans. Learning. *Students, Nursing	Index Medicus; Nursing	Clinical practice; Compassionate care; Nursing students; Qualitative descriptive study						Nursing; Education & Educational Research; Psychology; Behavioral Sciences (provided by Clarivate Analytics)	1873-5223	101090848	Scotland			MEDLINE			 / 16 Jun 2021 / 16 Jun 2021		18 May 2021		10.1016/j.nepr.2021.103092	MEDLINE:34049091				2021-12-06
J	32251969	Journal Article	Novel and legacy poly- and perfluoroalkyl substances (PFASs) in indoor dust from urban, industrial, and e-waste dismantling areas: The emergence of PFAS alternatives in China.		Zhang, Bo; He, Yuan; Huang, Yingyan; Hong, Danhong; Yao, Yiming; Wang, Lei; Sun, Wenwen; Yang, Baoqin; Huang, Xiongfei; Song, Shiming; Bai, Xueyuan; Guo, Yuankai; Zhang, Tao; Sun, Hongwen		Environmental pollution (Barking, Essex : 1987)	263	Pt A	114461	2020	2020 Aug (Epub 2020 Mar 31)	English	39	130	Copyright © 2020 Elsevier Ltd. All rights reserved.With the phase out of perfluorooctanesulfonate (PFOS) and perfluorooctanoic acid (PFOA), the composition profiles of poly- and perfluoroalkyl substance (PFAS) in our living environment are unclear. In this study, 25 PFASs were analyzed in indoor dust samples collected from urban, industrial, and e-waste dismantling areas in China. PFOS alternatives, including 6:2 chlorinated polyfluorinated ether sulfonate (6:2 Cl-PFESA) (median: 5.52ng/g) and 8:2 chlorinated polyfluorinated ether sulfonate (8:2 Cl-PFESA) (1.81ng/g), were frequently detected. By contrast, PFOA alternatives, such as hexafluoropropylene oxide dimer acid (HPFO-DA, Gen-X) and ammonium 4,8-dioxa-3H-perfluorononanoate (ADONA), were not found in any of the dust samples. As expected, all legacy PFASs were widely observed in indoor dust, and 4 PFAS precursors were also detected. Dust concentrations of 6:2 Cl-PFESA were strongly correlated (p<0.05) with those of 8:2 Cl-PFESA regardless of sampling sites. 6:2 Cl-PFESA was also significantly associated with that of PFOS in industrial and e-waste (p<0.01) areas. Association analysis suggested that the sources of PFOS and its alternatives are common or related. Although Cl-PFESA concentration was lower than that of PFOS (17.4ng/g), industrial areas had the highest 6:2 Cl-PFESA/PFOS ratio (0.63). Composition profiles of PFASs in the industrial area showed the forefront of fluorine change. Thus, the present findings suggested that Cl-PFESAs are widely used as PFOS alternatives in China, and high levels of human Cl-PFESA exposure are expected in the future. Short-chain PFASs (C4-C7) were the predominant PFASs found in dust samples, contributing to over 40% of total PFASs. Furthermore, perfluoro-1-butanesulfonate/PFOS and perfluoro-n-butanoic acid (PFBA)/PFOA ratios were 2.8 and 0.72, respectively. These findings suggested shifting to the short-chain PFASs in the environment in China. To the authors knowledge this is the first study to document the levels of 6:2 Cl-PFESA, 8:2 Cl-PFESA in indoor dust.		School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou, 510275, China; Guangdong Provincial Key Laboratory of Environmental Pollution Control and Remediation Technology (Sun Yat-Sen University), Guangzhou, 510275, China.; School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou, 510275, China.; School of Foreign Languages, Nanfang College of Sun Yat-Sen University, Guangzhou, 510970, China.; MOE Key Laboratory of Pollution Processes and Environmental Criteria, College of Environmental Science and Engineering, Nankai University, Tianjin, 300071, China.; SCIEX China, Guangzhou, 510623, China.; School of Chemistry and Environment, Jiaying University, Meizhou, 514015, China.; School of Environmental Science and Engineering, Sun Yat-Sen University, Guangzhou, 510275, China; School of Chemistry and Environment, Jiaying University, Meizhou, 514015, China. Electronic address: zhangt47@mail.sysu.edu.cn.			*Alkanesulfonic Acids. China. Dust. *Electronic Waste. Ethers. *Fluorocarbons. Humans	Index Medicus	Indoor dust; Legacy PFASs; PFAS alternatives; PFAS precursors			0 / Alkanesulfonic Acids. 0 / Dust. 0 / Ethers. 0 / Fluorocarbons			Toxicology; Environmental Sciences & Ecology; Public, Environmental & Occupational Health (provided by Clarivate Analytics)	1873-6424	8804476	England			MEDLINE			 / 10 Jul 2020 / 10 Jul 2020		31 Mar 2020		10.1016/j.envpol.2020.114461	MEDLINE:32251969				2021-12-06
J	34286232	Journal Article	Programmed PPAR-alpha downregulation induces inflammaging by suppressing fatty acid catabolism in monocytes.		Wang, Ming; Yan, Yan; Zhang, Zhengguo; Yao, Xiaohan; Duan, Xixi; Jiang, Ziming; An, Junfeng; Zheng, Peiguo; Han, Yijie; Wu, Hao; Wang, Zhaoqing; Glauben, Rainer; Qin, Zhihai		iScience	24	7	102766	2021	2021 Jul 23	English	4	4	© 2021 The Author(s).Inflammaging is associated with an increased risk of chronic disease. Monocytes are the principal immune cells for the production of inflammatory cytokines and contribute to inflammaging in the elderly. However, the underlying mechanisms remain largely unknown. Here, we found that monocytes from aged individuals contained high levels of lipid droplets (LDs), and this increase was correlated with impaired fatty acid oxidation. Downregulated peroxisome proliferator-activated receptor (PPAR)-alpha may be responsible for the pro-inflammatory phenotype of monocytes in aged individuals, as it was positively correlated with LD accumulation and increasing TNF-alpha concentration. Interestingly, interventions that result in PPAR-alpha upregulation, such as fenofibrate treatment, TNF-alpha neutralization, or calorie restriction, reversed the effect of aging on monocytes. Thus the downregulation of PPAR-alpha and LD levels in monocytes represents a novel biomarker for inflammaging. Furthermore, PPAR-alpha activation in the elderly may also alleviate long-term inflammaging, preventing the development of life-limiting chronic diseases.		Medical Research Center, The First Affiliated Hospital of Zhengzhou University, Zhengzhou University, Zhengzhou, Henan 450052, China.; Department of Urology, the First Affiliated Hospital of Zhengzhou University, Zhengzhou, China.; School of Yunkang Medical and Health Management, Nanfang College of SUN Yat-Sen University, Guangzhou city, Guangdong 510970, China.; Clinical Laboratory, the First Affiliated Hospital of Zhengzhou University, Zhengzhou, Henan 450052, China.; University of Chinese Academy of Sciences, Beijing, China.; Key Laboratory of Protein and Peptide Pharmaceuticals, Institute of Biophysics, Chinese Academy of Sciences, Beijing 100101, China.; Wurzburg Institute of Systems Immunology, Max-planck Research Group, University Wurzburg, Germany.; Corporate Member of Freie Universitat Berlin, Charite - Universitatsmedizin Berlin, Humboldt-Universitat zu Berlin, Berlin, Germany.; Medical Department for Gastroenterology, Infectious Diseases and Rheumatology, Berlin Institute of Health, Berlin, Germany.; School of Basic Medical Sciences, the Academy of Medical Sciences of Zhengzhou University, Zhengzhou, Henan 450052, China.					Cell biology; Immunology; human metabolism							2589-0042	101724038	United States			PubMed-not-MEDLINE			 / 22 Jul 2021		24 Jun 2021		10.1016/j.isci.2021.102766	MEDLINE:34286232	gold, Green Published			2021-12-06
